College,Year,Credit Enrollment Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Success Count
Chabot Hayward,2014-2015,70102.0,48324.0,63288.0,43611.0,59619.0,41509.0
Chabot Hayward,2015-2016,70873.0,48788.0,64383.0,44355.0,60225.0,41774.0
Chabot Hayward,2016-2017,70771.0,49313.0,64700.0,45139.0,60319.0,42358.0
Chabot Hayward,2017-2018,70182.0,49381.0,64070.0,45332.0,60193.0,42784.0
Chabot Hayward,2018-2019,70528.0,51198.0,65181.0,47545.0,61636.0,45098.0
Chabot Hayward,2019-2020,62490.0,48441.0,59357.0,46075.0,57353.0,44458.0
Chabot Hayward,2020-2021,53603.0,42308.0,51522.0,40610.0,50393.0,39764.0
Chabot Hayward,2021-2022,50351.0,36712.0,48603.0,35287.0,47086.0,34025.0
Chabot Hayward,2022-2023,53145.0,38933.0,51838.0,37903.0,51379.0,37573.0
Chabot Hayward,2023-2024,57265.0,40948.0,56361.0,40190.0,56093.0,40030.0
Chaffey,2014-2015,102295.0,73054.0,97201.0,69746.0,80382.0,58497.0
Chaffey,2015-2016,112007.0,78387.0,107309.0,75294.0,90137.0,63993.0
Chaffey,2016-2017,115354.0,80472.0,110790.0,77503.0,93506.0,66172.0
Chaffey,2017-2018,117169.0,81712.0,113236.0,79232.0,96283.0,68129.0
Chaffey,2018-2019,118060.0,82071.0,108950.0,77727.0,99926.0,71016.0
Chaffey,2019-2020,113811.0,81186.0,109983.0,79168.0,103184.0,73649.0
Chaffey,2020-2021,100274.0,69459.0,99097.0,68853.0,92945.0,64109.0
Chaffey,2021-2022,92820.0,61534.0,92490.0,61351.0,86296.0,56744.0
Chaffey,2022-2023,100171.0,66166.0,99785.0,65938.0,92633.0,60678.0
Chaffey,2023-2024,106527.0,75730.0,104848.0,74770.0,97716.0,69097.0
Citrus,2014-2015,80470.0,56908.0,72112.0,51887.0,64238.0,46341.0
Citrus,2015-2016,82367.0,57905.0,74533.0,53226.0,67225.0,48013.0
