College,Year,Credit Enrollment Count,Credit Retention Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Retention Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Retention Count,Transferable Success Count
Marin,2023-2024,25869,23350,20098,25640,23144,19924,24996,22588,19507
Mendocino,2020-2021,16671,14550,12464,16485,14385,12334,15371,13445,11566
Mendocino,2021-2022,17053,14779,12613,16924,14672,12531,15645,13573,11629
Mendocino,2022-2023,18241,15854,13288,17908,15594,13091,16762,14595,12266
Mendocino,2023-2024,31281,27778,23666,30857,27467,23415,29138,25887,22090
Merced,2020-2021,66251,56677,46614,63218,54349,44905,58601,50199,41295
Merced,2021-2022,61684,53663,43946,59053,51568,42484,53817,46784,38218
Merced,2022-2023,69791,61262,49702,67480,59410,48335,62374,54585,43905
Merced,2023-2024,76499,67786,54593,74590,66280,53464,69900,61879,49540
Merritt,2020-2021,24072,20201,17253,23796,19952,17030,21794,18334,15642
Merritt,2021-2022,22120,18110,15476,21972,17962,15330,20292,16607,14199
Merritt,2022-2023,23101,19125,16250,22912,18941,16090,21049,17452,14859
Merritt,2023-2024,25146,20612,17685,24969,20441,17528,22802,18670,16029
MiraCosta,2020-2021,64614,63301,55338,64319,63009,55098,62914,61616,53850
MiraCosta,2021-2022,66074,55579,47394,65719,55314,47172,64472,54244,46226
MiraCosta,2022-2023,66774,56853,48382,66683,56769,48311,65840,56015,47625
MiraCosta,2023-2024,73377,63210,54080,73327,63165,54047,72369,62310,53278
Mission,2020-2021,35134,30716,26925,33273,29048,25476,32289,28210,24758
Mission,2021-2022,31057,27267,23227,29580,26010,22162,28636,25161,21433
Mission,2022-2023,32519,28680,24348,31185,27500,23330,30302,26695,22601
Mission,2023-2024,35642,31326,26517,34858,30635,25920,33667,29574,24968
Modesto,2020-2021,90498,80687,69944,88580,78985,68465,83047,73988,64026
Modesto,2021-2022,101527,82492,66733,99245,80645,65335,92340,74973,60502
Modesto,2022-2023,107223,90242,73414,104999,88432,71992,98001,82495,66939
Modesto,2023-2024,114909,98860,81834,112345,96663,80070,104547,89865,74112
Monterey,2020-2021,39162,34541,29980,38860,34260,29732,32643,28585,24624
Monterey,2021-2022,35127,31030,26510,34739,30661,26181,29152,25537,21586
Monterey,2022-2023,39400,34933,29295,39003,34583,28979,33425,29468,24400
Monterey,2023-2024,40861,36940,30944,40392,36511,30562,34534,31053,25609
Moorpark,2020-2021,84491,76127,67860,84257,75910,67674,67225,60405,53712
Moorpark,2021-2022,75225,67798,59935,75051,67634,59794,58306,52243,46020
Moorpark,2022-2023,79507,71660,62887,79369,71540,62792,59133,52883,46095
Moorpark,2023-2024,75826,67007,58782,75672,66879,58675,55427,48433,42233
Moreno Valley,2020-2021,40683,35357,27830,39989,34865,27528,36163,31310,24279
Moreno Valley,2021-2022,35173,30390,23531,34722,30039,23277,31359,27000,20597
Moreno Valley,2022-2023,41392,36458,27650,40875,36133,27448,36706,32101,24116
