College,Year,Student Count,EOPS Student Count
Fullerton,2017-2018,32719,1448
Fullerton,2018-2019,30998,1534
Fullerton,2019-2020,30681,1469
Fullerton,2020-2021,29323,1287
Fullerton,2021-2022,24451,1023
Fullerton,2022-2023,25132,974
Fullerton,2023-2024,24848,877
Gavilan,2014-2015,9703,345
Gavilan,2015-2016,11752,402
Gavilan,2016-2017,9212,445
Gavilan,2017-2018,9675,446
Gavilan,2018-2019,10193,429
Gavilan,2019-2020,9516,425
Gavilan,2020-2021,7340,430
Gavilan,2021-2022,7107,422
Gavilan,2022-2023,8296,420
Gavilan,2023-2024,10681,428
Glendale,2014-2015,27669,1952
Glendale,2015-2016,28192,1949
Glendale,2016-2017,27875,2095
Glendale,2017-2018,26670,2082
Glendale,2018-2019,25201,2024
Glendale,2019-2020,23968,2090
Glendale,2020-2021,21027,1880
Glendale,2021-2022,19621,1708
Glendale,2022-2023,20709,1567
Glendale,2023-2024,22979,2043
Golden West,2014-2015,17202,878
Golden West,2015-2016,17221,852
Golden West,2016-2017,17526,903
Golden West,2017-2018,17745,884
Golden West,2018-2019,17742,879
Golden West,2019-2020,19171,820
Golden West,2020-2021,17189,627
Golden West,2021-2022,15738,543
Golden West,2022-2023,16695,614
Golden West,2023-2024,17513,702
Grossmont,2014-2015,24847,810
Grossmont,2015-2016,25025,1028
Grossmont,2016-2017,25434,1083
Grossmont,2017-2018,25287,1053
Grossmont,2018-2019,24509,990
Grossmont,2019-2020,23243,996
Grossmont,2020-2021,19333,712
Grossmont,2021-2022,16739,576
Grossmont,2022-2023,17288,716
Grossmont,2023-2024,18705,990
Hartnell,2014-2015,16142,571
Hartnell,2015-2016,17176,605
Hartnell,2016-2017,17158,619
Hartnell,2017-2018,18271,631
Hartnell,2018-2019,18682,669
Hartnell,2019-2020,17997,755
Hartnell,2020-2021,12022,621
Hartnell,2021-2022,12991,600
Hartnell,2022-2023,11227,518
Hartnell,2023-2024,14193,566
Imperial,2014-2015,10178,952
Imperial,2015-2016,10457,1186
Imperial,2016-2017,10765,1276
Imperial,2017-2018,11306,1331
Imperial,2018-2019,11142,1261
Imperial,2019-2020,11472,1449
Imperial,2020-2021,10007,1511
Imperial,2021-2022,10371,1387
Imperial,2022-2023,11098,1803
Imperial,2023-2024,11953,2465
Irvine,2014-2015,20501,554
Irvine,2015-2016,20865,692
Irvine,2016-2017,23302,746
Irvine,2017-2018,22258,724
Irvine,2018-2019,22020,792
Irvine,2019-2020,21859,766
Irvine,2020-2021,20070,704
Irvine,2021-2022,18664,540
Irvine,2022-2023,18902,566
Irvine,2023-2024,21263,707
LA City,2014-2015,31519,2179
